ID кампании;Кампания;Тип;Дата;Артикул;Показы;Клики;Расход, ₽;Заказы;Выручка с заказов, ₽;ДРР, %
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-06-01;OZ-012;8252;328;5796;28;82798;7.0
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-06-08;OZ-012;9922;358;6324;35;106414;5.9
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-06-15;OZ-012;20429;422;6064;29;86204;7.0
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-06-22;OZ-012;13124;487;6126;28;84088;7.3
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-01;OZ-013;21302;466;5892;31;24162;24.4
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-01;OZ-016;14752;313;4398;14;14664;30.0
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-08;OZ-013;16690;405;5264;26;20802;25.3
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-08;OZ-016;7690;243;4025;17;17458;23.1
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-15;OZ-013;15316;386;5402;24;18898;28.6
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-15;OZ-016;11287;315;4343;16;16546;26.2
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-22;OZ-013;19986;426;5930;35;27972;21.2
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-22;OZ-016;10990;246;4056;18;18626;21.8
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-06-01;OZ-008;4987;105;1879;7;23488;8.0
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-06-08;OZ-008;3099;92;1596;6;19952;8.0
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-06-15;OZ-008;3252;122;1995;9;29932;6.7
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-06-22;OZ-008;4360;98;1738;8;26738;6.5
