Маркетплейс;Дата;Артикул;Товар;Категория;Бренд;Продано, шт;Реализация, ₽;Возвраты, ₽;Комиссия МП, ₽;Логистика, ₽;Хранение, ₽;Продвижение, ₽;Штрафы, ₽;Прочие удержания, ₽;К выплате, ₽
Wildberries;2026-07-27;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;38;64896;0;9734;6913;342;2595;0;0;45312
Wildberries;2026-07-27;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;720;283;108;51;257;0;0;0;21
Wildberries;2026-07-27;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;12;28937;0;4340;3120;85;1157;0;0;20235
Ozon;2026-07-27;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;19;23603;1160;3540;1525;225;0;0;0;17153
Ozon;2026-07-27;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;32;52922;6149;7938;4790;203;0;0;0;33842
Ozon;2026-07-27;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;30;40953;0;6142;4303;404;0;0;0;30104
Wildberries;2026-07-27;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;52;52875;5868;7931;5089;160;0;0;0;33827
Ozon;2026-07-27;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;12;40710;0;6106;4068;97;1628;0;0;28811
Wildberries;2026-07-27;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;27;59198;0;8879;5987;381;0;0;0;43951
Wildberries;2026-07-27;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;56;105705;0;15855;7680;319;4227;0;0;77624
Ozon;2026-07-27;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;45;118540;14020;17780;7806;77;0;0;0;78857
Ozon;2026-07-27;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;55;163954;0;24593;31822;80;6558;0;0;100901
Ozon;2026-07-27;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;47;37658;0;5648;3744;388;5272;0;0;22606
Ozon;2026-07-27;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;24;51631;6508;7744;4719;298;0;0;0;32362
Wildberries;2026-07-27;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;48;155529;7495;23329;13802;266;0;0;0;110637
Ozon;2026-07-27;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;29;30305;1547;4546;3210;251;4242;0;0;16509
Wildberries;2026-07-27;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;19;71047;0;10657;6643;274;0;0;0;53473
Wildberries;2026-07-27;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;59;233593;0;35039;15344;283;0;0;0;182927
Wildberries;2026-07-27;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;52;41353;0;6203;3049;279;10338;0;0;21484
Wildberries;2026-07-27;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;29;123038;0;18455;13778;358;4921;0;0;85526
Wildberries;2026-07-27;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;20;67390;8347;10108;7567;224;0;0;0;41144
Wildberries;2026-07-27;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;2;3948;1528;592;365;340;0;0;0;1123
Wildberries;2026-07-27;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;42;134690;136962;20204;8624;15;0;0;0;-31115
Wildberries;2026-07-27;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;17;56522;0;8478;5725;290;2261;0;0;39768
Wildberries;2026-08-03;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;43;74117;0;11117;8013;317;2964;0;0;51706
Wildberries;2026-08-03;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;730;283;109;52;279;0;0;0;7
Wildberries;2026-08-03;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;13;32170;0;4825;3179;72;1286;0;0;22808
Ozon;2026-08-03;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;14;17080;889;2561;1194;230;0;0;0;12206
Ozon;2026-08-03;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;37;61282;7519;9192;5748;202;0;0;0;38621
Ozon;2026-08-03;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;32;43688;0;6553;4254;474;0;0;0;32407
Wildberries;2026-08-03;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;59;60470;6634;9070;5917;203;0;0;0;38646
Ozon;2026-08-03;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;12;39557;0;5933;3899;70;1582;0;0;28073
Wildberries;2026-08-03;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;30;64070;0;9610;6568;446;0;0;0;47446
Wildberries;2026-08-03;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;48;92381;0;13856;6367;306;3695;0;0;68157
Ozon;2026-08-03;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;45;117386;13796;17607;7790;70;0;0;0;78123
Ozon;2026-08-03;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;55;166564;0;24984;33359;78;6662;0;0;101481
Ozon;2026-08-03;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;43;34439;0;5165;3302;316;4821;0;0;20835
Ozon;2026-08-03;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;24;51962;5799;7793;4677;313;0;0;0;33380
Wildberries;2026-08-03;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;49;155061;7137;23258;13557;193;0;0;0;110916
Ozon;2026-08-03;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;29;29504;1621;4426;3272;277;4130;0;0;15778
Wildberries;2026-08-03;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;20;73623;0;11043;6852;254;0;0;0;55474
Wildberries;2026-08-03;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;33;132428;0;19864;8361;272;0;0;0;103931
Wildberries;2026-08-03;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;59;46208;0;6931;3545;261;11552;0;0;23919
Wildberries;2026-08-03;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;30;125631;0;18844;14041;426;5025;0;0;87295
Wildberries;2026-08-03;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;20;66950;8692;10042;7711;242;0;0;0;40263
Wildberries;2026-08-03;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;2;4044;1710;606;388;282;0;0;0;1058
Wildberries;2026-08-03;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;48;154170;153360;23126;10201;19;0;0;0;-32536
Wildberries;2026-08-03;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;14;46674;0;7001;5052;317;1867;0;0;32437
Wildberries;2026-08-10;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;41;69700;0;10455;7610;287;2787;0;0;48561
Wildberries;2026-08-10;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;716;329;107;54;349;0;0;0;-123
Wildberries;2026-08-10;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;15;36279;0;5441;4006;86;1450;0;0;25296
Ozon;2026-08-10;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;18;21813;1196;3271;1427;204;0;0;0;15715
Ozon;2026-08-10;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;34;56657;7449;8498;5452;207;0;0;0;35051
Ozon;2026-08-10;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;35;48769;0;7315;5004;407;0;0;0;36043
Wildberries;2026-08-10;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;52;53066;6609;7960;4943;197;0;0;0;33357
Ozon;2026-08-10;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;14;46272;0;6940;4546;88;1850;0;0;32848
Wildberries;2026-08-10;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;30;64716;0;9706;6620;454;0;0;0;47936
Wildberries;2026-08-10;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;53;100009;0;15001;6960;301;4000;0;0;73747
Ozon;2026-08-10;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;39;104632;12488;15694;6802;83;0;0;0;69565
Ozon;2026-08-10;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;60;182683;0;27402;34980;62;7307;0;0;112932
Ozon;2026-08-10;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;42;33911;0;5086;3308;295;4748;0;0;20474
Ozon;2026-08-10;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;24;51969;6050;7795;4711;317;0;0;0;33096
Wildberries;2026-08-10;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;49;160013;8322;24001;13333;214;0;0;0;114143
Ozon;2026-08-10;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;30;30954;1528;4643;3407;216;4333;0;0;16827
Wildberries;2026-08-10;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;21;77770;0;11665;7532;260;0;0;0;58313
Wildberries;2026-08-10;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;9;36714;0;5507;2247;315;0;0;0;28645
Wildberries;2026-08-10;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;58;46659;0;6998;3408;203;11665;0;0;24385
Wildberries;2026-08-10;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;28;115760;0;17364;13084;420;4630;0;0;80262
Wildberries;2026-08-10;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;16;53206;6265;7981;6320;189;0;0;0;32451
Wildberries;2026-08-10;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;2;4041;1828;606;362;252;0;0;0;993
Wildberries;2026-08-10;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;37;119380;126014;17907;7421;18;0;0;0;-31980
Wildberries;2026-08-10;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;17;57663;0;8649;6015;283;2306;0;0;40410
Wildberries;2026-08-17;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;40;69553;0;10433;6872;397;2781;0;0;49070
Wildberries;2026-08-17;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;717;306;107;52;274;0;0;0;-22
Wildberries;2026-08-17;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;14;33832;0;5074;3751;83;1352;0;0;23572
Ozon;2026-08-17;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;15;18526;918;2778;1228;211;0;0;0;13391
Ozon;2026-08-17;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;39;66337;7369;9950;6233;185;0;0;0;42600
Ozon;2026-08-17;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;31;43794;0;6568;4245;404;0;0;0;32577
Wildberries;2026-08-17;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;45;45693;5010;6854;4645;222;0;0;0;28962
Ozon;2026-08-17;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;11;36520;0;5477;3382;71;1460;0;0;26130
Wildberries;2026-08-17;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;24;52614;0;7891;4990;433;0;0;0;39300
Wildberries;2026-08-17;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;50;94573;0;14185;6557;285;3782;0;0;69764
Ozon;2026-08-17;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;35;91843;12091;13776;6331;77;0;0;0;59568
Ozon;2026-08-17;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;57;167678;0;25151;34826;80;6707;0;0;100914
Ozon;2026-08-17;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;51;40078;0;6011;3780;279;5611;0;0;24397
Ozon;2026-08-17;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;20;43280;5658;6491;3790;261;0;0;0;27080
Wildberries;2026-08-17;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;48;151725;6838;22758;12881;204;0;0;0;109044
Ozon;2026-08-17;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;30;30536;1506;4580;3293;301;4274;0;0;16582
Wildberries;2026-08-17;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;20;74733;0;11210;6844;300;0;0;0;56379
Wildberries;2026-08-17;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;0;0;0;0;0;323;0;0;0;-323
Wildberries;2026-08-17;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;59;47567;0;7135;3357;227;11892;0;0;24956
Wildberries;2026-08-17;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;31;130513;0;19577;15149;340;5220;0;0;90227
Wildberries;2026-08-17;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;20;65861;8500;9879;7402;230;0;0;0;39850
Wildberries;2026-08-17;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;2;4046;1762;607;355;291;0;0;0;1031
Wildberries;2026-08-17;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;41;132499;122836;19875;8431;18;0;0;0;-18661
Wildberries;2026-08-17;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;17;57723;0;8658;6121;311;2309;0;0;40324
Wildberries;2026-08-10;WB-050;Штраф — маркировка;Прочее/Корректировки;—;0;0;0;0;0;0;0;1860;0;-1860
Ozon;2026-07-27;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
Ozon;2026-08-03;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
Ozon;2026-08-10;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
Ozon;2026-08-17;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
