ID кампании;Кампания;Тип кампании;Дата;Артикул WB;Показы;Клики;CTR, %;CPC, ₽;Затраты, ₽;Заказы;Сумма заказов, ₽;CR, %
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-01;WB-019;19466;522;2.68;11.36;5930;25;22062;4.79
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-01;WB-020;20208;427;2.11;13.51;5767;19;80578;4.45
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-08;WB-019;12033;437;3.63;13.82;6041;23;20677;5.26
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-08;WB-020;14835;530;3.57;11.50;6093;21;88858;3.96
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-15;WB-019;12958;470;3.63;13.93;6545;32;27704;6.81
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-15;WB-020;19176;594;3.10;9.98;5926;17;71969;2.86
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-22;WB-019;22471;654;2.91;10.33;6758;38;33351;5.81
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-22;WB-020;12609;424;3.36;12.42;5267;16;65845;3.77
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-01;WB-001;7744;281;3.63;10.32;2899;27;46606;9.61
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-01;WB-003;3706;134;3.62;11.03;1478;9;22186;6.72
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-08;WB-001;14197;291;2.05;9.84;2863;25;43657;8.59
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-08;WB-003;2877;114;3.96;12.11;1380;6;14792;5.26
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-15;WB-001;7784;267;3.43;12.67;3383;24;41435;8.99
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-15;WB-003;5025;116;2.31;12.57;1458;7;17015;6.03
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-22;WB-001;12236;278;2.27;12.73;3540;25;43390;8.99
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-22;WB-003;4942;145;2.93;10.12;1467;10;24471;6.90
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-06-01;WB-010;8974;302;3.37;12.91;3898;31;59239;10.26
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-06-08;WB-010;15275;319;2.09;12.49;3983;24;45962;7.52
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-06-15;WB-010;13169;295;2.24;14.01;4132;38;71375;12.88
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-06-22;WB-010;10451;325;3.11;11.94;3882;24;44797;7.38
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-06-01;WB-024;10353;232;2.24;9.60;2227;12;39301;5.17
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-06-08;WB-024;9862;218;2.21;9.26;2019;8;26917;3.67
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-06-15;WB-024;7930;213;2.69;12.13;2584;9;30601;4.23
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-06-22;WB-024;5348;202;3.78;11.99;2421;10;33633;4.95
